Category,Type,Track,Item,Amount_AUD,Notes
Revenue,Ticket,MEL,Early bird tickets,20,Price per ticket first 3 weeks
Revenue,Ticket,MEL,Standard tickets,35,Hard cap - no ticket over $35
Revenue,Ticket,MEL,Group ticket,25,Price per person for teams of 4+
Revenue,Ticket,MEL,Scholarship seats,0,~10% free seats
Revenue,Sponsorship,Both,TI MedTech (logo + in-kind only),0,Not needed for budget to close
Revenue,Sponsorship,Both,Any Gold/Silver cash or in-kind,0,Pure upside - not required
Expense,Venue,MEL,RMIT Activator,0,Free via Leon
Expense,AV/Tech,MEL,AV and tech,0,Covered by RMIT
Expense,Volunteers,MEL,Appreciation,0,No budget line
Expense,Insurance,MEL,Insurance and compliance,0,Assumed covered by RMIT facility agreement - confirm
Expense,Marketing,MEL,Marketing materials,0,Digital-first only
Expense,Prizes,MEL,Cash prizes,0,In-kind only by default
Expense,Catering,MEL,2 lunches Catering At Its Finest grazing boxes (scales with headcount),1200,Cap at 150-head ceiling - see box math in 05_Budget_Revenue.md
Expense,Contingency,MEL,Contingency (10% of catering) at ceiling,120,
Expense,Total,MEL,Total Melbourne expenses at 150-head ceiling,1320,Scales down proportionally at lower attendance
Scenario,50 total heads,MEL,Paid tickets (45) revenue @ $27 avg,1215,
Scenario,50 total heads,MEL,Catering + contingency,440,
Scenario,50 total heads,MEL,Profit to Kashaf and Aleeya,775,
Scenario,100 total heads,MEL,Paid tickets (90) revenue @ $27 avg,2430,
Scenario,100 total heads,MEL,Catering + contingency,880,
Scenario,100 total heads,MEL,Profit to Kashaf and Aleeya,1550,
Scenario,150 total heads (ceiling),MEL,Paid tickets (135) revenue @ $27 avg,3645,
Scenario,150 total heads (ceiling),MEL,Catering + contingency,1320,
Scenario,150 total heads (ceiling),MEL,Profit to Kashaf and Aleeya,2325,
Expense,Venue,SG,Venue (TBD),0,No Melbourne-style free venue assumed - unknown
Expense,Total,SG,Singapore costs,0,Placeholder - do not budget until venue/partner confirmed
