Day,Time,Activity,Owner
1 (Sat),09:00,Venue walkthrough and AV test (staff only),Tech Lead
1 (Sat),09:45,Doors open - participant check-in,Participant Experience Lead
1 (Sat),10:00,Welcome and code of conduct,Aleeya
1 (Sat),10:15,Keynote - Leon or TI MedTech leader,Leon/Dr Irwan
1 (Sat),10:30,Team formation,Participant Experience Lead
1 (Sat),11:00,Hacking starts - mentor office hours slot 1,Mentorship Coordinator
1 (Sat),13:00,Lunch (catered - Catering At Its Finest),Logistics Lead
1 (Sat),14:00,Hacking resumes - mentor office hours slot 2,Mentorship Coordinator
1 (Sat),16:00,Virtual workshop - Tita and Dr Irwan TI MedTech livestreamed from Singapore (contingent, ends 16:45),Tech Lead
1 (Sat),16:45,Hacking - final Day 1 push,-
1 (Sat),17:45,Day 1 wrap-up and safety check-in,Kashaf
1 (Sat),18:00,Venue closes,Venue Lead
2 (Sun),09:45,Doors open,Participant Experience Lead
2 (Sun),10:00,Hacking resumes - mentor office hours slot 3 (final),Mentorship Coordinator
2 (Sun),13:00,Lunch (catered - Catering At Its Finest),Logistics Lead
2 (Sun),13:45,Submission deadline,Tech Lead
2 (Sun),14:00,Judge briefing / demos begin,Judge Coordinator
2 (Sun),16:00,Judge deliberation,Judge Coordinator
2 (Sun),16:30,Awards ceremony,Aleeya
2 (Sun),17:00,Networking and closing remarks,Kashaf
2 (Sun),17:30,Teardown - event closes,Logistics Lead
